,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
3170,C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,12/2/2010 9:10,2.95,14092.0,United Kingdom
3338,C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,12/2/2010 10:37,8.5,12471.0,Germany
3410,C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,12/2/2010 10:46,14.95,14766.0,United Kingdom
3693,C536642,21463,MIRRORED DISCO BALL ,-1,12/2/2010 11:56,5.95,14390.0,United Kingdom
3911,C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,12/2/2010 12:50,4.25,16042.0,United Kingdom
3912,C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,12/2/2010 12:50,7.95,16042.0,United Kingdom
3919,C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,12/2/2010 13:05,2.95,15922.0,United Kingdom
4287,C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,12/2/2010 14:23,0.03,15838.0,United Kingdom
4288,C536758,21314,SMALL GLASS HEART TRINKET POT,-1,12/2/2010 14:25,2.1,13767.0,United Kingdom
4306,C536760,22175,PINK OWL SOFT TOY,-1,12/2/2010 14:29,2.95,17547.0,United Kingdom
4307,C536760,22273,FELTCRAFT DOLL MOLLY,-3,12/2/2010 14:29,2.95,17547.0,United Kingdom
4347,536764,84952C,,-38,12/2/2010 14:42,0.0,,United Kingdom
4836,C536807,22501,PICNIC BASKET WICKER LARGE,-2,12/2/2010 16:45,9.95,15834.0,United Kingdom
4837,C536807,22778,GLASS CLOCHE SMALL,-1,12/2/2010 16:45,3.95,15834.0,United Kingdom
4853,C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,12/2/2010 16:58,0.85,16546.0,United Kingdom
4854,C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,12/2/2010 16:58,0.72,16546.0,United Kingdom
4855,C536812,22593,CHRISTMAS GINGHAM STAR,-144,12/2/2010 16:58,0.72,16546.0,United Kingdom
4856,C536812,22595,CHRISTMAS GINGHAM HEART,-144,12/2/2010 16:58,0.72,16546.0,United Kingdom
4857,C536812,22588,CARD HOLDER GINGHAM HEART,-192,12/2/2010 16:58,2.1,16546.0,United Kingdom
4858,C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,12/2/2010 16:58,0.72,16546.0,United Kingdom
4876,C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,12/2/2010 17:03,7.95,13958.0,United Kingdom
4877,C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,12/2/2010 17:03,2.95,13958.0,United Kingdom
4878,C536814,85066,CREAM SWEETHEART MINI CHEST,-2,12/2/2010 17:03,12.75,13958.0,United Kingdom
4879,C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,12/2/2010 17:03,2.55,13958.0,United Kingdom
4880,C536814,21258,VICTORIAN SEWING BOX LARGE,-1,12/2/2010 17:03,12.75,13958.0,United Kingdom
4881,C536815,85175,CACTI T-LIGHT CANDLES,-1,12/2/2010 17:05,0.42,14443.0,United Kingdom
4882,C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,12/2/2010 17:05,1.25,14443.0,United Kingdom
4883,C536816,21129,SILVER FISHING GNOME ,-2,12/2/2010 17:06,6.95,14443.0,United Kingdom
4884,C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,12/2/2010 17:08,4.25,14156.0,EIRE
4885,C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/2/2010 17:08,3.25,14156.0,EIRE
4886,C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,12/2/2010 17:09,1.25,16995.0,United Kingdom
4904,C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,12/2/2010 17:14,1.95,18168.0,United Kingdom
4905,C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,12/2/2010 17:14,1.95,18168.0,United Kingdom
4906,C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,12/2/2010 17:14,2.1,18168.0,United Kingdom
4907,C536820,21843,RED RETROSPOT CAKE STAND,-1,12/2/2010 17:14,10.95,18168.0,United Kingdom
4931,C536822,22847,BREAD BIN DINER STYLE IVORY,-2,12/2/2010 17:19,16.95,14625.0,United Kingdom
4932,C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,12/2/2010 17:19,3.75,14625.0,United Kingdom
4937,C536825,22617,BAKING SET SPACEBOY DESIGN,-1,12/2/2010 17:27,4.95,15384.0,United Kingdom
4938,C536825,22197,SMALL POPCORN HOLDER,-2,12/2/2010 17:27,0.85,15384.0,United Kingdom
4939,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,12/2/2010 17:30,4.65,17924.0,United Kingdom
4940,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,12/2/2010 17:30,4.65,17924.0,United Kingdom
4941,C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,12/2/2010 17:31,6.95,13408.0,United Kingdom
4942,C536828,22832,BROCANTE SHELF WITH HOOKS,-1,12/2/2010 17:35,10.75,14264.0,United Kingdom
4943,C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,12/2/2010 17:35,1.25,14264.0,United Kingdom
4944,C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/2/2010 17:36,3.25,13295.0,United Kingdom
5232,C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,12/3/2010 9:47,7.65,14213.0,United Kingdom
5233,C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,12/3/2010 9:47,6.75,14213.0,United Kingdom
5234,C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,12/3/2010 9:47,2.55,14213.0,United Kingdom
5235,C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,12/3/2010 9:47,4.95,14213.0,United Kingdom
5236,C536850,22186,RED STAR CARD HOLDER,-48,12/3/2010 9:47,2.55,14213.0,United Kingdom
5259,C536853,84678,CLASSICAL ROSE SMALL VASE,-1,12/3/2010 10:07,2.55,14679.0,United Kingdom
5260,C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,12/3/2010 10:09,2.95,15240.0,United Kingdom
5261,C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,12/3/2010 10:09,1.25,15240.0,United Kingdom
5262,C536854,21871,SAVE THE PLANET MUG,-1,12/3/2010 10:09,1.25,15240.0,United Kingdom
5263,C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,12/3/2010 10:11,7.95,18225.0,United Kingdom
6781,C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,12/3/2010 14:19,9.95,17954.0,United Kingdom
6782,C536979,84685,BEACH HUT KEY CABINET,-1,12/3/2010 14:23,3.75,17841.0,United Kingdom
6783,C536979,22630,DOLLY GIRL LUNCH BOX,-1,12/3/2010 14:23,1.95,17841.0,United Kingdom
7188,536996,22712,,-20,12/3/2010 15:30,0.0,,United Kingdom
7189,536997,22028,,-20,12/3/2010 15:30,0.0,,United Kingdom
7190,536998,85067,,-6,12/3/2010 15:30,0.0,,United Kingdom
7192,537000,21414,,-22,12/3/2010 15:32,0.0,,United Kingdom
7193,537001,21653,,-6,12/3/2010 15:33,0.0,,United Kingdom
7195,537003,85126,,-2,12/3/2010 15:33,0.0,,United Kingdom
7196,537004,21814,,-30,12/3/2010 15:34,0.0,,United Kingdom
7197,537005,21692,,-70,12/3/2010 15:35,0.0,,United Kingdom
7198,537006,21648,,-130,12/3/2010 15:36,0.0,,United Kingdom
7199,537007,21172,,-80,12/3/2010 15:36,0.0,,United Kingdom
7200,537008,21161,,-120,12/3/2010 15:37,0.0,,United Kingdom
7201,537009,84534B,,-80,12/3/2010 15:38,0.0,,United Kingdom
7202,537010,22162,,-40,12/3/2010 15:38,0.0,,United Kingdom
7203,537011,22139,,-5,12/3/2010 15:38,0.0,,United Kingdom
7204,537012,21535,,-12,12/3/2010 15:39,0.0,,United Kingdom
7205,537013,35965,,-25,12/3/2010 15:40,0.0,,United Kingdom
7206,537014,21040,,-20,12/3/2010 15:40,0.0,,United Kingdom
7207,537015,37464,,-14,12/3/2010 15:41,0.0,,United Kingdom
7208,537016,21836,,-15,12/3/2010 15:41,0.0,,United Kingdom
7209,537017,47556B,,-69,12/3/2010 15:41,0.0,,United Kingdom
7210,537018,84562A,,-3,12/3/2010 15:42,0.0,,United Kingdom
7211,537019,37474,,-15,12/3/2010 15:43,0.0,,United Kingdom
7212,537020,21807,,-30,12/3/2010 15:43,0.0,,United Kingdom
7213,537021,21011,,-20,12/3/2010 15:43,0.0,,United Kingdom
7278,C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,12/3/2010 16:21,2.1,13941.0,United Kingdom
7291,537027,18098C,,-140,12/3/2010 16:36,0.0,,United Kingdom
7292,537028,21696,,-320,12/3/2010 16:36,0.0,,United Kingdom
7293,537029,37476,,-6,12/3/2010 16:37,0.0,,United Kingdom
7313,537032,21275,?,-30,12/3/2010 16:50,0.0,,United Kingdom
7437,C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,12/5/2010 10:25,4.95,15708.0,United Kingdom
7438,C537039,20936,FORKED CACTUS CANDLE,-1,12/5/2010 10:25,2.95,15708.0,United Kingdom
7439,C537039,85175,CACTI T-LIGHT CANDLES,-1,12/5/2010 10:25,0.42,15708.0,United Kingdom
7520,C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,12/5/2010 10:48,1.95,15351.0,United Kingdom
7521,C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,12/5/2010 10:48,1.69,15351.0,United Kingdom
8316,C537132,22788,BROCANTE COAT RACK,-2,12/5/2010 12:29,8.5,15221.0,United Kingdom
8317,C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,12/5/2010 12:29,8.5,15221.0,United Kingdom
8318,C537132,71279,PINK GLASS CANDLEHOLDER,-2,12/5/2010 12:29,2.95,15221.0,United Kingdom
8319,C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,12/5/2010 12:29,21.95,15221.0,United Kingdom
8320,C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,12/5/2010 12:29,21.95,15221.0,United Kingdom
8321,C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,12/5/2010 12:29,12.75,15221.0,United Kingdom
8685,C537143,20685,DOORMAT RED RETROSPOT,-1,12/5/2010 12:58,7.95,12748.0,United Kingdom
8952,C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,12/5/2010 13:09,1.25,15880.0,United Kingdom
9038,C537164,D,Discount,-1,12/5/2010 13:21,29.29,14527.0,United Kingdom
9493,C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,12/5/2010 14:44,9.95,14606.0,United Kingdom
9494,C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,12/5/2010 14:44,2.95,14606.0,United Kingdom
10194,C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,12/6/2010 9:31,8.5,12586.0,Italy
10204,C537234,22653,BUTTON BOX ,-20,12/6/2010 9:40,1.95,16161.0,United Kingdom
11502,C537251,22429,ENAMEL MEASURING JUG CREAM,-2,12/6/2010 10:45,4.25,,United Kingdom
11503,C537251,22620,4 TRADITIONAL SPINNING TOPS,-8,12/6/2010 10:45,1.25,,United Kingdom
11504,C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,12/6/2010 10:45,2.95,,United Kingdom
11505,C537251,22564,ALPHABET STENCIL CRAFT,-5,12/6/2010 10:45,1.25,,United Kingdom
11506,C537251,21891,TRADITIONAL WOODEN SKIPPING ROPE,-3,12/6/2010 10:45,1.25,,United Kingdom
11507,C537251,22747,POPPY'S PLAYHOUSE BATHROOM,-6,12/6/2010 10:45,2.1,,United Kingdom
11508,C537251,22454,MEASURING TAPE BABUSHKA RED,-8,12/6/2010 10:45,2.95,,United Kingdom
11509,C537251,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-4,12/6/2010 10:45,2.95,,United Kingdom
11510,C537251,21915,RED  HARMONICA IN BOX ,-4,12/6/2010 10:45,1.25,,United Kingdom
11511,C537251,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9,12/6/2010 10:45,2.55,,United Kingdom
11512,C537251,22748,POPPY'S PLAYHOUSE KITCHEN,-4,12/6/2010 10:45,2.1,,United Kingdom
11513,C537251,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-6,12/6/2010 10:45,4.95,,United Kingdom
11514,C537251,22418,10 COLOUR SPACEBOY PEN,-7,12/6/2010 10:45,0.85,,United Kingdom
11515,C537251,22911,PAPER CHAIN KIT LONDON,-2,12/6/2010 10:45,2.95,,United Kingdom
11516,C537251,22940,FELTCRAFT CHRISTMAS FAIRY,-5,12/6/2010 10:45,4.25,,United Kingdom
11517,C537251,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-8,12/6/2010 10:45,2.1,,United Kingdom
11518,C537251,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,12/6/2010 10:45,2.95,,United Kingdom
11519,C537251,22536,MAGIC DRAWING SLATE PURDEY,-11,12/6/2010 10:45,0.42,,United Kingdom
11520,C537251,21826,EIGHT PIECE DINOSAUR SET,-4,12/6/2010 10:45,1.25,,United Kingdom
11521,C537251,22466,FAIRY TALE COTTAGE NIGHTLIGHT,-3,12/6/2010 10:45,1.95,,United Kingdom
11799,C537314,21349,IVY HEART WREATH,-4,12/6/2010 11:42,6.75,13497.0,United Kingdom
11800,C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,12/6/2010 11:47,8.95,14867.0,United Kingdom
11813,C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,12/6/2010 12:00,8.5,12474.0,Germany
12069,537363,84569B,,-20,12/6/2010 12:35,0.0,,United Kingdom
12070,537364,21027,,-70,12/6/2010 12:36,0.0,,United Kingdom
12402,C537373,22423,REGENCY CAKESTAND 3 TIER,-1,12/6/2010 12:55,12.75,14487.0,United Kingdom
12455,C537379,22865,HAND WARMER OWL DESIGN,-10,12/6/2010 13:12,2.1,15882.0,United Kingdom
12538,C537383,21658,GLASS  BEURRE DISH,-1,12/6/2010 13:17,3.95,16550.0,United Kingdom
12539,C537383,22197,SMALL POPCORN HOLDER,-1,12/6/2010 13:17,0.85,16550.0,United Kingdom
12540,C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,12/6/2010 13:17,4.25,16550.0,United Kingdom
12823,C537398,22430,ENAMEL WATERING CAN CREAM,-1,12/6/2010 14:22,4.95,15426.0,United Kingdom
12934,537401,84898F,,-24,12/6/2010 14:37,0.0,,United Kingdom
12946,C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,12/6/2010 14:43,5.95,15502.0,United Kingdom
12947,C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,12/6/2010 14:43,5.95,15502.0,United Kingdom
12948,C537402,22849,BREAD BIN DINER STYLE MINT,-4,12/6/2010 14:43,14.95,15502.0,United Kingdom
12949,C537402,22847,BREAD BIN DINER STYLE IVORY,-4,12/6/2010 14:43,14.95,15502.0,United Kingdom
12950,C537402,47580,TEA TIME DES TEA COSY,-6,12/6/2010 14:43,2.55,15502.0,United Kingdom
12951,C537402,22196,SMALL HEART MEASURING SPOONS,-12,12/6/2010 14:43,0.85,15502.0,United Kingdom
13009,C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,12/6/2010 14:53,5.95,15502.0,United Kingdom
13010,C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,12/6/2010 14:53,5.95,15502.0,United Kingdom
13011,C537406,22847,BREAD BIN DINER STYLE IVORY,-4,12/6/2010 14:53,14.95,15502.0,United Kingdom
13012,C537406,22849,BREAD BIN DINER STYLE MINT,-4,12/6/2010 14:53,14.95,15502.0,United Kingdom
13019,C537408,47580,TEA TIME DES TEA COSY,-6,12/6/2010 14:55,2.55,15502.0,United Kingdom
13020,C537408,22196,SMALL HEART MEASURING SPOONS,-12,12/6/2010 14:55,0.85,15502.0,United Kingdom
13042,C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,12/6/2010 15:07,2.1,14409.0,United Kingdom
13052,C537414,POST,POSTAGE,-1,12/6/2010 15:09,4.41,16861.0,United Kingdom
13053,C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,12/6/2010 15:09,2.95,16861.0,United Kingdom
13054,C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,12/6/2010 15:10,7.95,16138.0,United Kingdom
13055,C537417,22960,JAM MAKING SET WITH JARS,-1,12/6/2010 15:12,4.25,13481.0,United Kingdom
13217,537425,84968F,check,-20,12/6/2010 15:35,0.0,,United Kingdom
13218,537426,84968E,check,-35,12/6/2010 15:36,0.0,,United Kingdom
13219,537427,84968B,,-21,12/6/2010 15:37,0.0,,United Kingdom
13264,537432,35833G,damages,-43,12/6/2010 16:10,0.0,,United Kingdom
13265,C537431,21755,LOVE BUILDING BLOCK WORD,-1,12/6/2010 16:10,5.95,16782.0,United Kingdom
14022,C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,12/7/2010 8:42,5.95,14850.0,United Kingdom
14023,C537445,22418,10 COLOUR SPACEBOY PEN,-11,12/7/2010 8:57,0.85,15021.0,United Kingdom
14060,537449,21054,,-30,12/7/2010 9:26,0.0,,United Kingdom
14061,537450,20684,,-19,12/7/2010 9:26,0.0,,United Kingdom
14062,537451,84881,,-11,12/7/2010 9:27,0.0,,United Kingdom
14063,537452,20941,,-24,12/7/2010 9:28,0.0,,United Kingdom
14064,537453,21248,,-18,12/7/2010 9:28,0.0,,United Kingdom
14065,537454,21349,,-44,12/7/2010 9:30,0.0,,United Kingdom
14066,537455,22155,,-70,12/7/2010 9:31,0.0,,United Kingdom
14217,537466,21488,,-50,12/7/2010 10:33,0.0,,United Kingdom
14332,C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,12/7/2010 11:47,7.95,13319.0,United Kingdom
14333,C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,12/7/2010 11:47,6.35,13319.0,United Kingdom
14334,C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,12/7/2010 11:47,3.75,13319.0,United Kingdom
14435,C537572,BANK CHARGES,Bank Charges,-1,12/7/2010 12:00,95.38,,United Kingdom
14436,C537581,S,SAMPLES,-1,12/7/2010 12:03,12.95,,United Kingdom
14437,C537581,S,SAMPLES,-1,12/7/2010 12:03,52.0,,United Kingdom
14497,C537596,22968,ROSE COTTAGE KEEPSAKE BOX ,-2,12/7/2010 12:31,9.95,17954.0,United Kingdom
14498,C537597,D,Discount,-1,12/7/2010 12:34,281.0,15498.0,United Kingdom
14514,C537600,AMAZONFEE,AMAZON FEE,-1,12/7/2010 12:41,1.0,,United Kingdom
14524,C537602,85099B,JUMBO BAG RED RETROSPOT,-1,12/7/2010 12:45,1.65,17511.0,United Kingdom
14525,C537602,21622,VINTAGE UNION JACK CUSHION COVER,-1,12/7/2010 12:45,4.95,17511.0,United Kingdom
14526,C537602,22065,CHRISTMAS PUDDING TRINKET POT ,-1,12/7/2010 12:45,1.25,17511.0,United Kingdom
14527,C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,12/7/2010 12:45,8.5,17511.0,United Kingdom
14528,C537602,22654,DELUXE SEWING KIT ,-1,12/7/2010 12:45,4.95,17511.0,United Kingdom
14529,C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,12/7/2010 12:45,2.55,17511.0,United Kingdom
14530,C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,12/7/2010 12:45,2.95,17511.0,United Kingdom
14531,C537602,22197,SMALL POPCORN HOLDER,-1,12/7/2010 12:45,0.72,17511.0,United Kingdom
14532,C537602,22659,LUNCH BOX I LOVE LONDON,-4,12/7/2010 12:45,1.65,17511.0,United Kingdom
14533,C537602,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,12/7/2010 12:45,7.65,17511.0,United Kingdom
14534,C537602,21843,RED RETROSPOT CAKE STAND,-1,12/7/2010 12:45,9.95,17511.0,United Kingdom
14535,C537602,22423,REGENCY CAKESTAND 3 TIER,-2,12/7/2010 12:45,10.95,17511.0,United Kingdom
14536,C537602,84050,PINK HEART SHAPE EGG FRYING PAN,-1,12/7/2010 12:45,1.25,17511.0,United Kingdom
14537,C537602,22198,LARGE POPCORN HOLDER ,-1,12/7/2010 12:45,1.45,17511.0,United Kingdom
14716,C537610,M,Manual,-1,12/7/2010 13:23,631.31,,United Kingdom
14717,C537611,22865,HAND WARMER OWL DESIGN,-36,12/7/2010 13:25,2.1,17675.0,United Kingdom
14728,C537613,M,Manual,-1,12/7/2010 13:28,313.78,,United Kingdom
15016,C537630,AMAZONFEE,AMAZON FEE,-1,12/7/2010 15:04,13541.33,,United Kingdom
16232,C537644,AMAZONFEE,AMAZON FEE,-1,12/7/2010 15:34,13474.79,,United Kingdom
16313,C537647,AMAZONFEE,AMAZON FEE,-1,12/7/2010 15:41,5519.25,,United Kingdom
16356,C537651,AMAZONFEE,AMAZON FEE,-1,12/7/2010 15:49,13541.33,,United Kingdom
16357,C537652,AMAZONFEE,AMAZON FEE,-1,12/7/2010 15:51,6706.71,,United Kingdom
16424,C537656,21258,VICTORIAN SEWING BOX LARGE,-12,12/7/2010 16:21,10.95,15100.0,United Kingdom
17075,C537677,21166,COOK WITH WINE METAL SIGN ,-1,12/8/2010 9:55,1.95,14796.0,United Kingdom
17134,C537684,22301,COFFEE MUG CAT + BIRD DESIGN,-1,12/8/2010 10:18,2.55,14901.0,United Kingdom
17135,C537684,22730,ALARM CLOCK BAKELIKE IVORY,-1,12/8/2010 10:18,3.75,14901.0,United Kingdom
17158,537687,84840,,-9,12/8/2010 10:26,0.0,,United Kingdom
17352,C537746,22156,HEART DECORATION WITH PEARLS ,-1,12/8/2010 11:03,0.85,15021.0,United Kingdom
17353,C537746,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,12/8/2010 11:03,2.55,15021.0,United Kingdom
17354,C537746,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/8/2010 11:03,3.25,15021.0,United Kingdom
17388,C537756,21914,BLUE HARMONICA IN BOX ,-24,12/8/2010 11:33,1.25,14952.0,United Kingdom
17389,C537756,84949,SILVER HANGING T-LIGHT HOLDER,-8,12/8/2010 11:33,1.65,14952.0,United Kingdom
17390,C537756,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-4,12/8/2010 11:33,14.95,14952.0,United Kingdom
17453,C537763,85068,CREAM SWEETHEART SHELF + HOOKS,-1,12/8/2010 12:03,7.95,16713.0,United Kingdom
17986,C537788,90062,CARNIVAL BRACELET,-1,12/8/2010 12:49,12.75,15916.0,United Kingdom
17987,C537788,16202E,BLACK PHOTO ALBUM ,-1,12/8/2010 12:49,5.55,15916.0,United Kingdom
18132,C537797,22501,PICNIC BASKET WICKER LARGE,-1,12/8/2010 13:07,8.5,13113.0,United Kingdom
18133,C537797,22423,REGENCY CAKESTAND 3 TIER,-2,12/8/2010 13:07,10.95,13113.0,United Kingdom
18134,C537797,22469,HEART OF WICKER SMALL,-1,12/8/2010 13:07,1.45,13113.0,United Kingdom
18135,C537798,22357,KINGS CHOICE BISCUIT TIN,-1,12/8/2010 13:07,4.25,16553.0,United Kingdom
18196,C537805,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,12/8/2010 13:18,4.65,15311.0,United Kingdom
18197,C537805,40001,WHITE BAMBOO RIBS LAMPSHADE,-2,12/8/2010 13:18,0.64,15311.0,United Kingdom
18198,C537805,85047,WHITE BEADED GARLAND STRING 20LIGHT,-1,12/8/2010 13:18,5.55,15311.0,United Kingdom
18199,C537805,22719,GUMBALL MONOCHROME COAT RACK,-3,12/8/2010 13:18,1.06,15311.0,United Kingdom
18200,C537805,20798,CLEAR MILKSHAKE GLASS,-4,12/8/2010 13:18,1.65,15311.0,United Kingdom
18201,C537805,22198,LARGE POPCORN HOLDER ,-1,12/8/2010 13:18,1.45,15311.0,United Kingdom
18202,C537805,22197,SMALL POPCORN HOLDER,-1,12/8/2010 13:18,0.72,15311.0,United Kingdom
18203,C537805,20829,GLITTER HANGING BUTTERFLY STRING,-1,12/8/2010 13:18,2.1,15311.0,United Kingdom
18204,C537805,22571,ROCKING HORSE RED CHRISTMAS ,-1,12/8/2010 13:18,0.85,15311.0,United Kingdom
