InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Invoice_Date,day,month,year,hour
537027,18098C,,-140,0,,United Kingdom,12/3/2010 16:36,3,12,2010,16
537028,21696,,-320,0,,United Kingdom,12/3/2010 16:36,3,12,2010,16
537029,37476,,-6,0,,United Kingdom,12/3/2010 16:37,3,12,2010,16
537032,21275,?,-30,0,,United Kingdom,12/3/2010 16:50,3,12,2010,16
537197,22841,ROUND CAKE TIN VINTAGE GREEN,1,0,12647,Germany,12/5/2010 14:02,5,12,2010,14
537361,21777,,5,0,,United Kingdom,12/6/2010 12:34,6,12,2010,12
537363,84569B,,-20,0,,United Kingdom,12/6/2010 12:35,6,12,2010,12
537364,21027,,-70,0,,United Kingdom,12/6/2010 12:36,6,12,2010,12
537401,84898F,,-24,0,,United Kingdom,12/6/2010 14:37,6,12,2010,14
537425,84968F,check,-20,0,,United Kingdom,12/6/2010 15:35,6,12,2010,15
537426,84968E,check,-35,0,,United Kingdom,12/6/2010 15:36,6,12,2010,15
537427,84968B,,-21,0,,United Kingdom,12/6/2010 15:37,6,12,2010,15
537430,85215,,120,0,,United Kingdom,12/6/2010 16:05,6,12,2010,16
537432,35833G,damages,-43,0,,United Kingdom,12/6/2010 16:10,6,12,2010,16
537436,84270,,7,0,,United Kingdom,12/6/2010 17:00,6,12,2010,17
537437,90167,,10,0,,United Kingdom,12/6/2010 17:00,6,12,2010,17
537438,22959,,13,0,,United Kingdom,12/6/2010 17:00,6,12,2010,17
537439,37474,,1,0,,United Kingdom,12/6/2010 17:01,6,12,2010,17
537449,21054,,-30,0,,United Kingdom,12/7/2010 9:26,7,12,2010,9
537450,20684,,-19,0,,United Kingdom,12/7/2010 9:26,7,12,2010,9
537451,84881,,-11,0,,United Kingdom,12/7/2010 9:27,7,12,2010,9
537452,20941,,-24,0,,United Kingdom,12/7/2010 9:28,7,12,2010,9
537453,21248,,-18,0,,United Kingdom,12/7/2010 9:28,7,12,2010,9
537454,21349,,-44,0,,United Kingdom,12/7/2010 9:30,7,12,2010,9
537455,22155,,-70,0,,United Kingdom,12/7/2010 9:31,7,12,2010,9
537466,21488,,-50,0,,United Kingdom,12/7/2010 10:33,7,12,2010,10
537534,85064,CREAM SWEETHEART LETTER RACK,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,84692,BOX OF 24 COCKTAIL PARASOLS,2,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,48184,DOORMAT ENGLISH ROSE ,3,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,48111,DOORMAT 3 SMILEY CATS,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22697,GREEN REGENCY TEACUP AND SAUCER,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22682,FRENCH BLUE METAL DOOR SIGN 7,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22680,FRENCH BLUE METAL DOOR SIGN 5,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22681,FRENCH BLUE METAL DOOR SIGN 6,2,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22679,FRENCH BLUE METAL DOOR SIGN 4,5,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22686,FRENCH BLUE METAL DOOR SIGN No,2,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22683,FRENCH BLUE METAL DOOR SIGN 8,3,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22676,FRENCH BLUE METAL DOOR SIGN 1,3,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22625,RED KITCHEN SCALES,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22624,IVORY KITCHEN SCALES,3,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22619,SET OF 6 SOLDIER SKITTLES,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22520,CHILDS GARDEN TROWEL BLUE ,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22524,CHILDRENS GARDEN GLOVES BLUE,3,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22502,PICNIC BASKET WICKER SMALL,29,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22501,PICNIC BASKET WICKER LARGE,2,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22476,EMPIRE UNION JACK TV DINNER TRAY,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22473,TV DINNER TRAY VINTAGE PAISLEY,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22474,SPACEBOY TV DINNER TRAY,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22472,TV DINNER TRAY DOLLY GIRL,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22514,CHILDS GARDEN SPADE BLUE,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22516,CHILDS GARDEN RAKE BLUE,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22432,WATERING CAN PINK BUNNY,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22428,ENAMEL FIRE BUCKET CREAM,3,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22427,ENAMEL FLOWER JUG CREAM,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22371,AIRLINE BAG VINTAGE TOKYO 78,5,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22620,4 TRADITIONAL SPINNING TOPS,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22624,IVORY KITCHEN SCALES,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22109,FULL ENGLISH BREAKFAST PLATE,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22367,CHILDRENS APRON SPACEBOY DESIGN,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22366,DOORMAT AIRMAIL ,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22364,GLASS JAR DIGESTIVE BISCUITS,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22362,GLASS JAR PEACOCK BATH SALTS,3,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22360,GLASS JAR ENGLISH CONFECTIONERY,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22359,GLASS JAR KINGS CHOICE,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22350,ILLUSTRATED CAT BOWL ,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,21116,OWL DOORSTOP,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22202,MILK PAN PINK POLKADOT,2,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,22550,HOLIDAY FUN LUDO,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,21912,VINTAGE SNAKES & LADDERS,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,21531,RED RETROSPOT SUGAR JAM BOWL,2,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,20726,LUNCH BAG WOODLAND,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,20652,BLUE POLKADOT LUGGAGE TAG ,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537534,20615,BLUE POLKADOT PASSPORT COVER,1,0,,United Kingdom,12/7/2010 11:48,7,12,2010,11
537639,22734,amazon,30,0,,United Kingdom,12/7/2010 15:29,7,12,2010,15
537640,21232,STRAWBERRY CERAMIC TRINKET BOX,1,0,,United Kingdom,12/7/2010 15:31,7,12,2010,15
537687,84840,,-9,0,,United Kingdom,12/8/2010 10:26,8,12,2010,10
537870,21486,,-77,0,,United Kingdom,12/8/2010 17:08,8,12,2010,17
537872,21595,,1,0,,United Kingdom,12/8/2010 18:07,8,12,2010,18
537873,37461,,1,0,,United Kingdom,12/8/2010 18:07,8,12,2010,18
537874,85170A,,1,0,,United Kingdom,12/8/2010 18:07,8,12,2010,18
537875,20849,,1,0,,United Kingdom,12/8/2010 18:08,8,12,2010,18
537876,84977,,2,0,,United Kingdom,12/8/2010 18:08,8,12,2010,18
537877,21661,,1,0,,United Kingdom,12/8/2010 18:08,8,12,2010,18
537878,72803B,,1,0,,United Kingdom,12/8/2010 18:09,8,12,2010,18
537999,22034,,-223,0,,United Kingdom,12/9/2010 11:44,9,12,2010,11
538001,35958,,10,0,,United Kingdom,12/9/2010 11:45,9,12,2010,11
538004,22114,,144,0,,United Kingdom,12/9/2010 12:11,9,12,2010,12
538036,21690,,34,0,,United Kingdom,12/9/2010 13:04,9,12,2010,13
538038,21488,,8,0,,United Kingdom,12/9/2010 13:07,9,12,2010,13
538039,22139,,7,0,,United Kingdom,12/9/2010 13:07,9,12,2010,13
538041,22145,,30,0,,United Kingdom,12/9/2010 13:09,9,12,2010,13
538042,21763,,-4,0,,United Kingdom,12/9/2010 13:10,9,12,2010,13
538043,22833,,-1,0,,United Kingdom,12/9/2010 13:10,9,12,2010,13
538045,84688,,27,0,,United Kingdom,12/9/2010 13:11,9,12,2010,13
538046,85008,,-15,0,,United Kingdom,12/9/2010 13:12,9,12,2010,13
538047,21429,,-70,0,,United Kingdom,12/9/2010 13:13,9,12,2010,13
538054,85167B,,-24,0,,United Kingdom,12/9/2010 13:34,9,12,2010,13
538055,22454,,-20,0,,United Kingdom,12/9/2010 13:34,9,12,2010,13
538058,20966,,-150,0,,United Kingdom,12/9/2010 13:38,9,12,2010,13
538061,21801,,-38,0,,United Kingdom,12/9/2010 13:39,9,12,2010,13
538071,22585,PACK OF 6 BIRDY GIFT TAGS,1,0,,United Kingdom,12/9/2010 14:09,9,12,2010,14
538072,22423,faulty,-13,0,,United Kingdom,12/9/2010 14:10,9,12,2010,14
538074,21743,,-80,0,,United Kingdom,12/9/2010 14:11,9,12,2010,14
538090,20956,?,-723,0,,United Kingdom,12/9/2010 14:48,9,12,2010,14
538092,37467,,-177,0,,United Kingdom,12/9/2010 14:49,9,12,2010,14
538128,21357,,46,0,,United Kingdom,12/9/2010 15:54,9,12,2010,15
538129,84497,,79,0,,United Kingdom,12/9/2010 15:55,9,12,2010,15
538130,90042C,,10,0,,United Kingdom,12/9/2010 15:55,9,12,2010,15
538131,17091A,,84,0,,United Kingdom,12/9/2010 15:56,9,12,2010,15
538132,84773,,3,0,,United Kingdom,12/9/2010 15:56,9,12,2010,15
538133,85018C,,3,0,,United Kingdom,12/9/2010 15:56,9,12,2010,15
538134,20878,,2,0,,United Kingdom,12/9/2010 15:56,9,12,2010,15
538135,21186,,2,0,,United Kingdom,12/9/2010 15:56,9,12,2010,15
538136,37509,,2,0,,United Kingdom,12/9/2010 15:57,9,12,2010,15
538137,62095B,,2,0,,United Kingdom,12/9/2010 15:57,9,12,2010,15
538138,72814,,2,0,,United Kingdom,12/9/2010 15:57,9,12,2010,15
538139,84802A,,2,0,,United Kingdom,12/9/2010 15:57,9,12,2010,15
538140,90002D,,9,0,,United Kingdom,12/9/2010 15:57,9,12,2010,15
538141,22218,,2,0,,United Kingdom,12/9/2010 15:58,9,12,2010,15
538142,84247C,,1,0,,United Kingdom,12/9/2010 15:58,9,12,2010,15
538143,84534B,,1,0,,United Kingdom,12/9/2010 15:58,9,12,2010,15
538144,90042B,,1,0,,United Kingdom,12/9/2010 15:58,9,12,2010,15
538158,20892,,-32,0,,United Kingdom,12/9/2010 17:17,9,12,2010,17
538159,21324,,-18,0,,United Kingdom,12/9/2010 17:17,9,12,2010,17
538160,20956,,288,0,,United Kingdom,12/9/2010 17:18,9,12,2010,17
538161,46000S,Dotcom sales,-100,0,,United Kingdom,12/9/2010 17:25,9,12,2010,17
538162,46000M,Dotcom sales,-100,0,,United Kingdom,12/9/2010 17:25,9,12,2010,17
538173,22353,,-28,0,,United Kingdom,12/10/2010 9:35,10,12,2010,9
538241,21431,,-21,0,,United Kingdom,12/10/2010 12:00,10,12,2010,12
538247,79067,,-145,0,,United Kingdom,12/10/2010 12:09,10,12,2010,12
538249,85084,,25,0,,United Kingdom,12/10/2010 12:19,10,12,2010,12
538348,22734,amazon,30,0,,United Kingdom,12/10/2010 14:59,10,12,2010,14
538359,35958,,2,0,,United Kingdom,12/10/2010 16:29,10,12,2010,16
538360,35004P,,1,0,,United Kingdom,12/10/2010 16:29,10,12,2010,16
538837,85135B,,-40,0,,United Kingdom,12/14/2010 13:10,14,12,2010,13
538861,22444,,460,0,,United Kingdom,12/14/2010 14:04,14,12,2010,14
538873,22734,amazon sales,20,0,,United Kingdom,12/14/2010 15:13,14,12,2010,15
538877,21479,WHITE SKULL HOT WATER BOTTLE ,1,0,,United Kingdom,12/14/2010 15:29,14,12,2010,15
538877,22112,CHOCOLATE HOT WATER BOTTLE,1,0,,United Kingdom,12/14/2010 15:29,14,12,2010,15
538877,22356,CHARLOTTE BAG PINK POLKADOT,1,0,,United Kingdom,12/14/2010 15:29,14,12,2010,15
538906,21895,,-5,0,,United Kingdom,12/15/2010 10:31,15,12,2010,10
539263,22580,ADVENT CALENDAR GINGHAM SACK,4,0,16560,United Kingdom,12/16/2010 14:36,16,12,2010,14
539413,22959,,12,0,,United Kingdom,12/17/2010 13:44,17,12,2010,13
539494,21479,?,752,0,,United Kingdom,12/20/2010 10:36,20,12,2010,10
539495,22591,,36,0,,United Kingdom,12/20/2010 10:37,20,12,2010,10
539582,71477,,8,0,,United Kingdom,12/20/2010 12:53,20,12,2010,12
539583,35400,,1,0,,United Kingdom,12/20/2010 12:53,20,12,2010,12
539584,21491,,1,0,,United Kingdom,12/20/2010 12:54,20,12,2010,12
539585,21009,,1,0,,United Kingdom,12/20/2010 12:54,20,12,2010,12
539611,85135B,Found,53,0,,United Kingdom,12/20/2010 14:33,20,12,2010,14
539638,22139,,1,0,,United Kingdom,12/20/2010 15:23,20,12,2010,15
539722,22423,REGENCY CAKESTAND 3 TIER,10,0,14911,EIRE,12/21/2010 13:45,21,12,2010,13
539749,22734,,30,0,,United Kingdom,12/21/2010 15:33,21,12,2010,15
539750,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,0,,United Kingdom,12/21/2010 15:40,21,12,2010,15
539750,22652,TRAVEL SEWING KIT,1,0,,United Kingdom,12/21/2010 15:40,21,12,2010,15
539750,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,0,,United Kingdom,12/21/2010 15:40,21,12,2010,15
539750,21481,FAWN BLUE HOT WATER BOTTLE,1,0,,United Kingdom,12/21/2010 15:40,21,12,2010,15
539856,22444,GROW YOUR OWN PLANT IN A CAN ,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,20682,RED RETROSPOT CHILDRENS UMBRELLA,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,20724,RED RETROSPOT CHARLOTTE BAG,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,18098C,PORCELAIN BUTTERFLY OIL BURNER,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,84968E,SET OF 16 VINTAGE BLACK CUTLERY,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22518,CHILDS GARDEN BRUSH BLUE,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,84692,BOX OF 24 COCKTAIL PARASOLS,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,79321,CHILLI LIGHTS,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,48194,DOORMAT HEARTS,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,37333,"RETRO ""TEA FOR ONE"" ",1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22843,BISCUIT TIN VINTAGE GREEN,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22842,BISCUIT TIN VINTAGE RED,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22690,DOORMAT HOME SWEET HOME BLUE ,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,85099B,JUMBO BAG RED RETROSPOT,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22685,FRENCH BLUE METAL DOOR SIGN 0,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22684,FRENCH BLUE METAL DOOR SIGN 9,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22686,FRENCH BLUE METAL DOOR SIGN No,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22682,FRENCH BLUE METAL DOOR SIGN 7,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22683,FRENCH BLUE METAL DOOR SIGN 8,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22681,FRENCH BLUE METAL DOOR SIGN 6,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22679,FRENCH BLUE METAL DOOR SIGN 4,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22678,FRENCH BLUE METAL DOOR SIGN 3,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22680,FRENCH BLUE METAL DOOR SIGN 5,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22677,FRENCH BLUE METAL DOOR SIGN 2,6,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22676,FRENCH BLUE METAL DOOR SIGN 1,5,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22666,RECIPE BOX PANTRY YELLOW DESIGN,7,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22650,CERAMIC PIRATE CHEST MONEY BANK,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22647,CERAMIC LOVE HEART MONEY BANK,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22626,BLACK KITCHEN SCALES,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22625,RED KITCHEN SCALES,7,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22624,IVORY KITCHEN SCALES,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22619,SET OF 6 SOLDIER SKITTLES,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22526,WHEELBARROW FOR CHILDREN ,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22525,CHILDRENS GARDEN GLOVES PINK,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22524,CHILDRENS GARDEN GLOVES BLUE,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22514,CHILDS GARDEN SPADE BLUE,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22512,DOORSTOP RACING CAR DESIGN,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22475,SKULL DESIGN TV DINNER TRAY,5,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22431,WATERING CAN BLUE ELEPHANT,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22428,ENAMEL FIRE BUCKET CREAM,4,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22426,ENAMEL WASH BOWL CREAM,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22374,AIRLINE BAG VINTAGE JET SET RED,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22375,AIRLINE BAG VINTAGE JET SET BROWN,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22371,AIRLINE BAG VINTAGE TOKYO 78,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22367,CHILDRENS APRON SPACEBOY DESIGN,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22361,GLASS JAR DAISY FRESH COTTON WOOL,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22360,GLASS JAR ENGLISH CONFECTIONERY,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22357,KINGS CHOICE BISCUIT TIN,7,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22350,ILLUSTRATED CAT BOWL ,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22072,RED RETROSPOT TEA CUP AND SAUCER ,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,21912,VINTAGE SNAKES & LADDERS,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,22550,HOLIDAY FUN LUDO,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,21888,BINGO SET,2,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,21539,RED RETROSPOT BUTTER DISH,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,21258,VICTORIAN SEWING BOX LARGE,3,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,21116,OWL DOORSTOP,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539856,20719,WOODLAND CHARLOTTE BAG,1,0,,United Kingdom,12/22/2010 14:41,22,12,2010,14
539980,35001W,,-36,0,,United Kingdom,12/23/2010 14:34,23,12,2010,14
539994,22830,,-1,0,,United Kingdom,1/4/2011 10:09,4,1,2011,10
539995,85064,,-12,0,,United Kingdom,1/4/2011 10:12,4,1,2011,10
539996,21784,,-10,0,,United Kingdom,1/4/2011 10:12,4,1,2011,10
539997,84689,,5,0,,United Kingdom,1/4/2011 10:15,4,1,2011,10
539998,84675,,2,0,,United Kingdom,1/4/2011 10:16,4,1,2011,10
539999,20892,,-1,0,,United Kingdom,1/4/2011 10:16,4,1,2011,10
540000,84499,,-9,0,,United Kingdom,1/4/2011 10:17,4,1,2011,10
540008,85230F,,-48,0,,United Kingdom,1/4/2011 11:10,4,1,2011,11
540009,22158,,-120,0,,United Kingdom,1/4/2011 11:10,4,1,2011,11
540010,22501,reverse 21/5/10 adjustment,-100,0,,United Kingdom,1/4/2011 11:13,4,1,2011,11
540011,22501,,30,0,,United Kingdom,1/4/2011 11:13,4,1,2011,11
540012,22502,reverse 21/5/10 adjustment,-100,0,,United Kingdom,1/4/2011 11:14,4,1,2011,11
540018,90112,,2,0,,United Kingdom,1/4/2011 12:07,4,1,2011,12
540100,22837,?,-106,0,,United Kingdom,1/4/2011 16:53,4,1,2011,16
